TDate,TV,Radio,Newspaper,Sales
6/10/14,230.1,37.8,69.2,22.1
11/14/15,44.5,39.3,45.1,10.4
5/16/14,17.2,45.9,69.3,9.3
8/28/14,151.5,41.3,58.5,18.5
6/29/15,180.8,10.8,58.4,12.9
12/3/14,8.7,48.9,75,7.2
9/8/12,57.5,32.8,23.5,11.8
7/6/12,120.2,19.6,11.6,13.2
3/29/15,8.6,2.1,1,4.8
2/4/12,199.8,2.6,21.2,10.6
11/4/14,66.1,5.8,24.2,8.6
10/18/14,214.7,24,4,17.4
2/28/15,23.8,35.1,65.9,9.2
8/3/13,97.5,7.6,7.2,9.7
4/21/15,204.1,32.9,46,19
6/28/15,195.4,47.7,52.9,22.4
11/13/13,67.8,36.6,114,12.5
10/31/12,281.4,39.6,55.8,24.4
6/13/12,69.2,20.5,18.3,11.3
1/27/12,147.3,23.9,19.1,14.6
3/11/14,218.4,27.7,53.4,18
7/5/15,237.4,5.1,23.5,12.5
11/4/15,13.2,15.9,49.6,5.6
2/19/15,228.3,16.9,26.2,15.5
7/4/14,62.3,12.6,18.3,9.7
9/9/15,262.9,3.5,19.5,12
8/3/14,142.9,29.3,12.6,15
9/26/12,240.1,16.7,22.9,15.9
2/13/14,248.8,27.1,22.9,18.9
1/5/12,70.6,16,40.8,10.5
12/17/12,292.9,28.3,43.2,21.4
11/17/15,112.9,17.4,38.6,11.9
5/31/13,97.2,1.5,30,9.6
2/16/12,265.6,20,0.3,17.4
8/12/13,95.7,1.4,7.4,9.5
3/12/13,290.7,4.1,8.5,12.8
10/22/14,266.9,43.8,5,25.4
9/28/12,74.7,49.4,45.7,14.7
7/31/12,43.1,26.7,35.1,10.1
9/24/12,228,37.7,32,21.5
8/17/13,202.5,22.3,31.6,16.6
11/10/13,177,33.4,38.7,17.1
11/21/12,293.6,27.7,1.8,20.7
9/19/12,206.9,8.4,26.4,12.9
2/29/12,25.1,25.7,43.3,8.5
3/1/14,175.1,22.5,31.5,14.9
5/8/13,89.7,9.9,35.7,10.6
10/28/12,239.9,41.5,18.5,23.2
11/14/15,227.2,15.8,49.9,14.8
12/13/15,66.9,11.7,36.8,9.7
9/25/14,199.8,3.1,34.6,11.4
3/28/14,100.4,9.6,3.6,10.7
12/20/15,216.4,41.7,39.6,22.6
2/8/14,182.6,46.2,58.7,21.2
12/5/12,262.7,28.8,15.9,20.2
8/28/14,198.9,49.4,60,23.7
2/6/13,7.3,28.1,41.4,5.5
9/8/13,136.2,19.2,16.6,13.2
4/4/12,210.8,49.6,37.7,23.8
7/13/12,210.7,29.5,9.3,18.4
7/28/12,53.5,2,21.4,8.1
5/23/12,261.3,42.7,54.7,24.2
7/19/14,239.3,15.5,27.3,15.7
2/16/15,102.7,29.6,8.4,14
8/9/14,131.1,42.8,28.9,18
2/8/14,69,9.3,0.9,9.3
3/16/15,31.5,24.6,2.2,9.5
9/12/14,139.3,14.5,10.2,13.4
12/13/15,237.4,27.5,11,18.9
2/15/12,216.8,43.9,27.2,22.3
1/16/15,199.1,30.6,38.7,18.3
12/18/13,109.8,14.3,31.7,12.4
6/24/15,26.8,33,19.3,8.8
1/15/13,129.4,5.7,31.3,11
10/19/13,213.4,24.6,13.1,17
11/28/14,16.9,43.7,89.4,8.7
12/6/14,27.5,1.6,20.7,6.9
2/15/12,120.5,28.5,14.2,14.2
4/2/12,5.4,29.9,9.4,5.3
12/9/14,116,7.7,23.1,11
10/13/14,76.4,26.7,22.3,11.8
6/26/13,239.8,4.1,36.9,12.3
11/25/15,75.3,20.3,32.5,11.3
1/26/12,68.4,44.5,35.6,13.6
10/4/14,213.5,43,33.8,21.7
