,Newspaper,Radio,Sales,TV
0,692,378,221,2301
1,451,393,104,445
2,693,459,93,172
3,585,413,185,1515
4,584,108,129,1808
5,750,489,72,87
6,235,328,118,575
7,10,21,48,86
8,116,196,132,1202
9,242,58,86,661
10,212,26,106,1998
11,40,240,174,2147
12,659,351,92,238
13,72,76,97,975
14,460,329,190,2041
15,529,477,224,1954
16,1140,366,125,678
17,558,396,244,2814
18,191,239,146,1473
19,183,126,97,623
20,408,160,105,706
21,74,14,95,957
22,320,377,215,2280
23,534,277,180,2184
24,195,35,120,2629
25,432,283,214,2929
26,85,41,128,2907
27,316,223,166,2025
28,235,51,125,2374
29,126,293,150,1429
30,386,174,119,1129
31,50,438,254,2669
32,387,334,171,1770
33,357,99,106,897
34,36,96,107,1004
35,414,281,55,73
36,547,427,242,2613
37,22,246,95,315
38,317,143,124,1098
39,207,16,69,275
40,369,41,123,2398
41,160,275,120,763
42,330,15,73,286
43,59,35,117,1976
44,1009,363,238,2964
45,297,110,72,250
46,232,380,218,2417
47,256,143,122,1392
48,504,217,70,188
49,506,389,66,78
50,430,29,127,2652
51,93,390,95,256
52,756,354,192,1937
53,87,73,132,2401
54,487,84,116,1210
55,505,435,153,939
56,493,358,133,857
57,216,376,80,179
58,474,209,145,1645
59,203,302,202,2484
60,274,54,122,2185
61,266,21,103,1395
62,60,108,99,755
63,81,49,97,942
64,552,496,28,1236
65,995,332,35,1220
66,338,261,175,1544
67,36,46,104,446
68,1028,486,210,1276
69,345,490,17,2443
70,71,328,169,2123
71,190,253,165,754
72,656,249,154,1983
73,192,81,42,418
74,108,334,181,2672
75,931,295,244,2961
76,829,67,230,1361
77,502,215,25,2837
78,1114,241,215,341
79,682,123,213,676
80,919,359,123,48
81,208,118,55,2018
82,95,476,103,1364
83,209,472,43,1522
84,726,489,32,1194
85,103,166,17,1845
86,792,390,64,990
87,328,107,223,234
88,496,159,56,132
89,229,167,159,2401
90,300,15,96,972
91,457,494,147,747
92,183,205,113,692
93,262,169,155,2283
94,229,271,189,2488
95,3,200,174,2656
96,404,156,74,2522
97,845,6,160,495
98,198,494,132,1509
99,138,306,240,2495
100,164,270,192,1131
101,732,157,164,1117
102,481,259,197,1947
103,348,44,240,1223
104,527,98,51,1182
105,315,225,149,1751
106,346,31,114,1998
107,600,494,237,1989
108,214,20,81,535
109,9,93,93,690
110,18,277,207,2936
111,185,415,232,2399
112,396,417,226,2164
113,166,192,132,1362
114,273,155,157,2393
115,387,306,183,1991
116,894,437,87,169
117,223,267,118,764
118,657,184,152,1932
119,93,49,112,1343
120,529,316,169,1633
121,498,43,117,2224
122,590,464,192,1379
123,565,82,134,2258
124,527,350,126,751
125,462,268,155,1413
126,259,118,106,872
127,87,396,16,7
128,85,470,116,483
129,129,170,109,734
130,90,19,103,1403
131,370,139,161,2807
132,57,116,32,41
133,307,181,144,1725
134,848,34,119,2345
135,184,116,84,500
136,418,489,270,2769
137,83,26,105,1566
138,196,451,226,2050
139,102,145,134,1393
140,193,330,88,268
141,142,285,142,1205
142,325,203,113,753
143,632,406,160,1107
144,351,267,101,431
145,264,84,129,2069
146,499,158,148,2272
147,587,462,212,1826
148,377,496,238,2108
149,84,296,140,1027
150,110,275,189,2374
151,313,57,110,1294
152,94,299,53,54
153,356,445,136,684
154,590,335,194,2177
155,220,210,155,1849
156,214,101,148,2802
157,232,3,87,904
158,24,154,141,1757
159,148,8,94,764
160,156,24,116,2240
161,92,0,88,802
162,21,272,57,84
163,597,289,208,2737
164,379,332,201,2205
165,443,490,254,2432
166,142,233,166,1976
167,243,13,101,1498
168,256,181,149,1884
169,194,52,122,2068
170,170,201,76,196
171,352,78,117,1702
172,297,57,87,562
173,182,287,173,1911
174,316,41,59,172
175,64,93,128,1770
176,734,255,129,883
177,723,365,222,2509
178,512,423,254,2897
179,179,172,147,1879
180,256,4,53,131
181,107,206,159,2096
182,792,369,159,1257
183,124,346,152,1231
184,32,490,247,2203
185,451,335,196,2198
186,205,259,96,430
187,344,57,104,1046
188,119,403,109,380
189,377,397,190,1713
190,452,369,73,117
191,74,368,180,1635
192,576,236,171,2154
193,128,71,117,1684
194,237,23,118,2767
195,718,430,262,2876
196,58,411,108,395
197,138,37,76,382
198,301,373,74,374
199,531,279,213,2003
200,892,432,181,564
201,1107,469,105,484
202,895,179,170,2720
203,147,139,207,747
204,471,372,20,450
205,763,104,105,2784
206,4,326,58,2125
207,9,179,43,1622
208,61,301,54,2051
209,576,270,108,306
210,761,201,185,2747
211,424,145,75,1319
212,560,441,141,1116
213,737,458,171,1638
214,249,301,120,2044
215,14,69,90,2923
216,782,161,239,2223
217,322,59,230,2284
218,126,405,71,2026
219,4,357,76,2454
220,37,139,159,2860
221,36,420,196,1668
222,662,420,255,2836
223,267,144,239,507
224,573,302,111,1316
225,282,165,260,2597
226,609,93,79,686
227,647,105,74,666
228,124,309,195,118
229,408,115,55,1438
230,926,148,171,761
231,225,104,257,2616
232,475,476,60,668
233,298,198,214,358
234,892,250,39,453
235,448,341,113,2787
236,101,279,51,2364
237,343,176,266,2663
238,1059,116,124,2852
239,949,69,120,2916
240,770,456,25,1162
241,1096,20,217,1009
242,179,207,163,1290
243,41,264,226,472
244,140,163,121,2626
245,1031,305,116,2428
246,776,248,16,2841
247,352,129,132,1496
248,675,220,176,2623
249,377,469,190,504
250,674,59,253,371
251,1083,201,161,938
252,273,273,209,282
253,211,120,267,1617
254,83,166,89,447
255,150,319,202,1124
256,759,323,163,2282
257,1100,202,132,499
258,955,349,210,1214
259,967,435,150,2541
260,53,280,108,548
261,589,318,240,2928
262,988,447,69,1864
263,981,411,166,2782
264,305,23,175,2888
265,997,451,262,448
266,676,80,133,1381
267,726,36,101,2892
268,1120,41,176,2631
269,1133,286,201,2906
270,345,337,56,1985
271,971,255,148,364
272,74,285,50,2453
273,961,2,254,2661
274,671,187,53,99
275,120,424,30,1246
276,416,71,268,2722
277,531,479,196,1464
278,886,219,199,1387
279,108,121,85,2663
280,879,182,31,1060
281,761,84,253,1993
282,807,368,159,124
283,327,371,41,2480
284,479,399,79,1899
285,682,346,81,2040
286,554,360,86,2868
287,925,168,248,1691
