Column 2,Column 3,Column 4
Report For View (Profile): ,01_Work Profile,
,,
These results do not contain sampled data.,,
,,
These query parameters were used:,,
sort,'-ga:quantityCheckedOut,
max-results,1000,
dimensions,"ga:productSku,ga:date",
start-date,2016-08-08,
start-index,1,
ids,ga:86833475,
metrics,ga:quantityCheckedOut,
end-date,yesterday,
,,
ga:productSku,ga:date,ga:quantityCheckedOut
40059002399070001,20160809,87
90058002303820001,20160808,77
90058002303820001,20160809,72
422371670001,20160808,70
40059002399070001,20160808,62
40059000522230001,20160808,35
40059002750280001,20160808,33
422422840001,20160808,33
40059002750280001,20160809,32
40059002746250001,20160809,31
422994790001,20160809,31
40059002647870001,20160809,30
40058081954800001,20160808,28
40059002865980001,20160808,28
422422840001,20160809,28
40058088624430001,20160808,27
40059001219050001,20160809,27
40058081353560001,20160808,26
422373100001,20160808,26
422402590001,20160809,26
40058088624740001,20160809,25
40059000536710001,20160808,25
40058081957010001,20160808,24
40058088082430001,20160808,24
40058081353560001,20160809,23
40059000515230001,20160808,23
40059003224320001,20160809,23
40059003008360001,20160808,22
40059003224700001,20160808,22
40058086979080001,20160808,21
40059001219050001,20160808,21
40058088082430001,20160809,20
40059000521240001,20160808,20
422772550001,20160808,20
40059000539540001,20160808,19
90058002511410001,20160809,19
40058088624430001,20160809,16
40059001219430001,20160808,16
40059002292980001,20160808,16
40059003008360001,20160809,16
40058083606730001,20160809,15
40058087029610001,20160808,15
40058088087170001,20160808,15
422776370001,20160808,15
40058083642510001,20160809,14
40058088903300001,20160808,14
40058088903300001,20160809,14
40059000535100001,20160808,14
40059002647870001,20160808,14
40059003224700001,20160809,14
40058089097660001,20160809,13
40059002462260001,20160808,13
40059002636670001,20160809,13
40058088465280001,20160808,12
40058089280710001,20160808,12
40058083682800001,20160808,11
40059000537940001,20160808,11
40059001730890001,20160809,11
40059001837810001,20160808,11
40059002461030001,20160808,11
40059002749080001,20160808,11
40059003224320001,20160808,11
40058081956400001,20160808,10
40058081958620001,20160809,10
40058081987190001,20160808,10
40058082149690001,20160808,10
40058084002870001,20160808,10
40058089280710001,20160809,10
40059000518060001,20160808,10
40059000536330001,20160809,10
40059000799090001,20160809,10
4005900122063720001,20160809,10
40059002179360001,20160809,10
40059002461030001,20160809,10
40058082834390001,20160808,9
40058086893300001,20160809,9
40058087002400001,20160808,9
40058088624740001,20160808,9
40059000535100001,20160809,9
40059001837810001,20160809,9
40059002461340001,20160809,9
40059002462260001,20160809,9
40059002493570001,20160809,9
40059003400470001,20160808,9
422468240001,20160809,9
422772480001,20160808,9
40058082325740001,20160809,8
40058083615260001,20160809,8
40058087000730001,20160808,8
40059001219810001,20160808,8
40059002493570001,20160808,8
40059002555320001,20160808,8
40059002636670001,20160808,8
40059002852630001,20160808,8
40059003400470001,20160809,8
40059003428670001,20160808,8
422828840001,20160809,8
90058002511410001,20160808,8
40058082149690001,20160809,7
40058088614460001,20160808,7
40059000537560001,20160809,7
40059000538790001,20160809,7
40059001752500001,20160809,7
40059002460110001,20160808,7
40059002749460001,20160809,7
40059003375420001,20160808,7
422422150001,20160809,7
90058002289070001,20160808,7
40058081764960001,20160808,6
40058081952680001,20160809,6
40058082325740001,20160808,6
40058083641210001,20160809,6
40058083826440001,20160809,6
40058087023810001,20160808,6
40058088465280001,20160809,6
40058088902930001,20160809,6
40059000228060001,20160808,6
40059000538790001,20160808,6
40059001219430001,20160809,6
40059001714810001,20160808,6
40059001752120001,20160809,6
40059001754580001,20160809,6
40059002168780001,20160808,6
40059002405760001,20160809,6
40059002460730001,20160808,6
40059002493190001,20160808,6
40059002555320001,20160809,6
40059002743800001,20160809,6
40059002865980001,20160809,6
421577240001,20160808,6
422316390001,20160808,6
422316390001,20160809,6
422316530001,20160809,6
422828840001,20160808,6
422832320001,20160808,6
422994310001,20160809,6
422994860001,20160808,6
40058081954800001,20160809,5
40058083614650001,20160809,5
40058083641210001,20160808,5
40058085507390001,20160808,5
40058088138030001,20160809,5
40059000236360001,20160808,5
40059000515230001,20160809,5
40059000536330001,20160808,5
40059000536710001,20160809,5
40059000539540001,20160809,5
40059001141670001,20160808,5
40059001142040001,20160809,5
40059001360080001,20160808,5
40059001433100001,20160808,5
40059001433100001,20160809,5
40059001727610001,20160808,5
40059001728080001,20160808,5
40059002405760001,20160808,5
40059002415970001,20160809,5
40059002468680001,20160809,5
40059002471860001,20160809,5
40059002646260001,20160809,5
40059003058930001,20160809,5
40059003300790001,20160809,5
40059003375350001,20160809,5
40059003375590001,20160809,5
422772480001,20160809,5
422995090001,20160808,5
40058081952680001,20160808,4
40058081955030001,20160809,4
40058081962720001,20160808,4
40058083682280001,20160809,4
40058088026230001,20160808,4
40058088130630001,20160809,4
40058089485810001,20160809,4
40059000521240001,20160809,4
40059000522230001,20160809,4
40059000702720001,20160808,4
40059000977670001,20160809,4
40059001065750001,20160808,4
40059001073050001,20160808,4
40059001133680001,20160809,4
40059001165980001,20160808,4
40059001199570001,20160808,4
40059001366400001,20160808,4
40059001377530001,20160809,4
40059001432730001,20160808,4
40059001714810001,20160809,4
40059001751750001,20160809,4
40059002152390001,20160808,4
40059002250850001,20160808,4
40059002460730001,20160809,4
40059002470630001,20160808,4
40059002471860001,20160808,4
40059002502160001,20160808,4
40059002571540001,20160809,4
40059002593940001,20160809,4
40059002747860001,20160808,4
40059002852630001,20160809,4
40059003021440001,20160808,4
40059003236990001,20160808,4
40059003352650001,20160809,4
40059003375420001,20160809,4
40059003375590001,20160808,4
40059003375730001,20160808,4
422402800001,20160809,4
42277248040001,20160808,4
42277248040001,20160809,4
422833930001,20160809,4
422838290001,20160809,4
422994310001,20160808,4
422994860001,20160809,4
90058002289070001,20160809,4
GIFTWRAP,20160808,4
GIFTWRAP,20160809,4
40058081952060001,20160809,3
40058082932540001,20160808,3
40058083121840001,20160809,3
40058083341000001,20160809,3
40058083668350001,20160808,3
40058083826440001,20160808,3
40058084002870001,20160809,3
40058085507390001,20160809,3
40058086694240001,20160808,3
40058086980280001,20160809,3
40058087016500001,20160808,3
40058087450670001,20160808,3
40058088070170001,20160808,3
40058088138030001,20160808,3
40058088172070001,20160809,3
40058088173060001,20160808,3
40058088177260001,20160809,3
40058088902930001,20160808,3
40058088925870001,20160808,3
40058088986330001,20160808,3
40058089097660001,20160808,3
40058089167570001,20160808,3
40058089241410001,20160809,3
40059000976200001,20160809,3
40059000977980001,20160808,3
40059001073050001,20160809,3
40059001141290001,20160809,3
40059001165500001,20160808,3
40059001220630001,20160809,3
40059001315600001,20160809,3
40059001432110001,20160808,3
40059001534320001,20160808,3
40059001534320001,20160809,3
40059001565320001,20160808,3
40059001583690001,20160809,3
40059001720130001,20160808,3
40059001782510001,20160808,3
40059002115900001,20160808,3
40059002168780001,20160809,3
40059002245900001,20160809,3
40059002253440001,20160808,3
40059002437510001,20160808,3
40059002461340001,20160808,3
40059002462570001,20160809,3
40059002471480001,20160809,3
40059002494010001,20160809,3
40059002646020001,20160808,3
40059003018880001,20160808,3
40059003058930001,20160808,3
40059003375800001,20160808,3
421101870001,20160808,3
422041210001,20160808,3
422041210001,20160809,3
422315540001,20160808,3
422316530001,20160808,3
422364810001,20160808,3
422371670001,20160809,3
422772310001,20160808,3
422772550001,20160809,3
422838050001,20160808,3
422892270001,20160808,3
422993940001,20160808,3
90058002509220001,20160808,3
40058081295080001,20160808,2
40058081953120001,20160808,2
40058082069950001,20160809,2
40058082240050001,20160808,2
40058082573000001,20160808,2
40058082573000001,20160809,2
40058083221450001,20160808,2
40058083621890001,20160809,2
40058083668350001,20160809,2
40058084450110001,20160808,2
40058084450110001,20160809,2
40058085883430001,20160809,2
40058086651500001,20160808,2
40058086685880001,20160809,2
40058086694240001,20160809,2
40058086829660001,20160808,2
40058086980590001,20160809,2
40058087016500001,20160809,2
40058087018100001,20160808,2
40058087893820001,20160809,2
40058088025790001,20160809,2
40058088026230001,20160809,2
40058088251410001,20160808,2
40058088925870001,20160809,2
40058088986330001,20160809,2
40058089205700001,20160808,2
40058089455420001,20160808,2
40058089484200001,20160809,2
40059000534730001,20160808,2
40059000535580001,20160808,2
40059000537560001,20160808,2
40059000537940001,20160809,2
40059000539160001,20160809,2
40059001140440001,20160808,2
40059001141670001,20160809,2
40059001199190001,20160809,2
4005900122063960001,20160808,2
4005900122063960001,20160809,2
40059001284300001,20160808,2
40059001284300001,20160809,2
40059001315600001,20160808,2
40059001316070001,20160808,2
40059001367250001,20160809,2
40059001721120001,20160808,2
40059001721120001,20160809,2
40059001722280001,20160808,2
40059001728840001,20160808,2
40059001731260001,20160808,2
40059001731260001,20160809,2
40059001750900001,20160809,2
40059001752500001,20160808,2
40059001754100001,20160809,2
40059001849000001,20160809,2
40059001853410001,20160809,2
40059001886940001,20160809,2
40059002000680001,20160809,2
40059002193740001,20160809,2
40059002291750001,20160809,2
40059002292120001,20160809,2
40059002461650001,20160809,2
40059002462570001,20160808,2
40059002471000001,20160808,2
40059002502540001,20160809,2
40059002571540001,20160808,2
40059002607030001,20160808,2
40059002646020001,20160809,2
40059002647010001,20160809,2
40059002744650001,20160808,2
40059002745400001,20160808,2
40059002746630001,20160809,2
40059002747860001,20160809,2
40059002748610001,20160808,2
40059002748610001,20160809,2
40059002749460001,20160808,2
40059002826130001,20160808,2
40059003041170001,20160808,2
40059003069130001,20160809,2
40059003070020001,20160808,2
40059003115420001,20160809,2
40059003375660001,20160808,2
40059003375730001,20160809,2
40059003375970001,20160809,2
40059003428670001,20160809,2
40059003458510001,20160809,2
421101870001,20160809,2
422315540001,20160809,2
42277248020001,20160808,2
42277248050001,20160809,2
42277248070001,20160808,2
42277248110001,20160808,2
422889230001,20160808,2
422889300001,20160809,2
422993630001,20160809,2
422993870001,20160809,2
422993940001,20160809,2
422995610001,20160809,2
90058002288910001,20160809,2
90058002289140001,20160808,2
90058002509220001,20160809,2
40058081290410001,20160809,1
40058081764890001,20160808,1
40058081951450001,20160808,1
40058081952060001,20160808,1
40058081958620001,20160808,1
40058082348060001,20160808,1
40058082615740001,20160808,1
40058082615740001,20160809,1
40058083128870001,20160808,1
40058083220530001,20160808,1
40058083341000001,20160808,1
40058083606730001,20160808,1
40058083621890001,20160808,1
40058083642510001,20160808,1
40058085616740001,20160808,1
40058085616740001,20160809,1
40058086921870001,20160808,1
40058086921870001,20160809,1
40058086923090001,20160808,1
40058086979080001,20160809,1
40058087002400001,20160809,1
40058087016120001,20160808,1
40058087018960001,20160808,1
40058087019880001,20160808,1
40058087023810001,20160809,1
40058087414580001,20160808,1
40058087450670001,20160809,1
40058087452410001,20160808,1
40058087470920001,20160808,1
40058087470920001,20160809,1
40058087533210001,20160808,1
40058087533210001,20160809,1
40058088016400001,20160809,1
4005808817207800001,20160808,1
40058088176030001,20160808,1
40058088251410001,20160809,1
40058088251890001,20160808,1
40058088462450001,20160809,1
40058088501120001,20160809,1
40058088614460001,20160809,1
40058089049140001,20160809,1
40058089147150001,20160809,1
40058089167570001,20160809,1
40058089168490001,20160808,1
40058089168490001,20160809,1
40058089173100001,20160808,1
40058089205320001,20160808,1
40058089205320001,20160809,1
40058089205700001,20160809,1
40058089314390001,20160809,1
40058089470270001,20160809,1
40058089476690001,20160808,1
40058089476690001,20160809,1
40058089481160001,20160808,1
40059000437330001,20160808,1
40059000518060001,20160809,1
40059000534730001,20160809,1
40059000535580001,20160809,1
40059000535960001,20160809,1
40059000539160001,20160808,1
40059000582010001,20160808,1
40059000582010001,20160809,1
40059000702720001,20160809,1
40059000867230001,20160808,1
40059000868220001,20160809,1
40059000868600001,20160809,1
40059000907130001,20160808,1
40059000909420001,20160808,1
40059000977670001,20160808,1
40059000977980001,20160809,1
40059000991740001,20160809,1
40059001133200001,20160808,1
40059001133200001,20160809,1
40059001141290001,20160808,1
40059001142040001,20160808,1
40059001165120001,20160809,1
40059001165500001,20160809,1
40059001165980001,20160809,1
40059001199570001,20160809,1
40059001219810001,20160809,1
40059001316450001,20160808,1
40059001317440001,20160808,1
40059001317440001,20160809,1
40059001317990001,20160808,1
40059001367250001,20160808,1
40059001378690001,20160809,1
4005900137906960001,20160809,1
40059001432110001,20160809,1
40059001565320001,20160809,1
40059001646360001,20160809,1
40059001648100001,20160808,1
40059001726000001,20160809,1
40059001729690001,20160809,1
40059001730030001,20160808,1
40059001730030001,20160809,1
40059001749700001,20160808,1
40059001749700001,20160809,1
40059001750140001,20160808,1
40059001750520001,20160809,1
40059001751750001,20160808,1
40059001838280001,20160808,1
40059001886940001,20160808,1
40059001934210001,20160809,1
40059001986480001,20160808,1
40059002000680001,20160808,1
40059002115900001,20160809,1
40059002270270001,20160809,1
40059002406440001,20160808,1
40059002406440001,20160809,1
40059002415970001,20160808,1
40059002437510001,20160809,1
40059002460420001,20160808,1
40059002468200001,20160809,1
40059002468680001,20160808,1
40059002470250001,20160809,1
40059002471000001,20160809,1
40059002494010001,20160808,1
40059002501790001,20160809,1
40059002646400001,20160809,1
40059002647250001,20160809,1
40059002651350001,20160809,1
40059002720100001,20160809,1
40059002735290001,20160809,1
40059002744650001,20160809,1
40059002745020001,20160808,1
40059002749080001,20160809,1
40059002749840001,20160808,1
40059002749840001,20160809,1
40059002826130001,20160809,1
40059002866420001,20160808,1
40059003018400001,20160808,1
40059003018880001,20160809,1
40059003041170001,20160809,1
40059003237120001,20160808,1
40059003252350001,20160809,1
40059003252590001,20160809,1
40059003262700001,20160809,1
40059003352650001,20160808,1
40059003376030001,20160808,1
40059003376030001,20160809,1
