TDate,TV,Radio,Newspaper,Sales
4/1/16,10584,11970,15621,7079
4/2/16,11058,12246,15390,7097
4/3/16,10860,11394,15727,7922
4/4/16,10264,12702,15145,7474
4/5/16,10858,12914,15215,7454
4/6/16,11107,11148,15513,7999
4/7/16,11089,11210,15792,7179
4/8/16,10498,12983,15361,6199
4/9/16,11930,12041,15898,7247
4/10/16,10575,12124,15888,6836
4/11/16,11572,12581,15291,6018
4/12/16,11702,12654,15179,7547
4/13/16,10266,11155,15202,7235
4/14/16,11092,12091,15680,7460
4/15/16,10502,11737,15735,6427
4/16/16,10303,11399,15194,6372
4/17/16,10332,11180,15367,7788
4/18/16,10731,12278,15275,7109
4/19/16,11562,11462,15724,6117
4/20/16,11714,12480,15074,6816
4/21/16,11789,11546,15222,7836
4/22/16,10272,12512,15936,7567
4/23/16,10647,12611,15175,6568
4/24/16,10720,11463,15346,6708
4/25/16,10446,11743,15628,7035
4/26/16,10177,12385,15904,7167
4/27/16,10340,11956,15427,7830
4/28/16,11436,12169,15776,6592
4/29/16,11823,11332,15532,6862
4/30/16,10814,12658,15890,6778
5/1/16,11566,11168,15700,7845
5/2/16,10071,12496,15149,7872
5/3/16,10624,12905,15448,6120
5/4/16,10401,12390,15561,7170
5/5/16,10911,12606,15268,7396
5/6/16,11528,12968,15078,7586
5/7/16,10179,11052,15611,7864
5/8/16,10358,11595,15114,7268
5/9/16,11739,12614,15409,7947
5/10/16,10992,12138,15585,7864
5/11/16,11601,11228,15994,7388
5/12/16,10983,11455,15043,6446
5/13/16,10691,11856,15810,6809
5/14/16,11330,12549,15473,7553
5/15/16,11475,12551,15220,7218
5/16/16,10651,12588,15999,7456
5/17/16,11304,11607,15288,6579
5/18/16,10805,11440,15094,7214
5/19/16,10038,11875,15312,6389
5/20/16,10279,11044,15849,6223
5/21/16,10451,11074,15349,7918
5/22/16,10802,11307,15391,6646
5/23/16,10948,12137,15668,6854
5/24/16,10405,12479,15733,7163
5/25/16,11273,11219,15110,6115
5/26/16,11904,12842,15242,6063
5/27/16,10657,11242,15122,6113
5/28/16,10527,11266,15067,6632
5/29/16,10963,12953,15510,7158
5/30/16,11950,11396,15633,7940
5/31/16,11498,11929,15074,7399
6/1/16,10983,11469,15489,7630
6/2/16,11038,11139,15676,7261
6/3/16,10076,11724,15223,6527
6/4/16,10505,12863,15270,7392
6/5/16,10056,12448,15764,7375
6/6/16,11062,12756,15083,7368
6/7/16,11123,12179,15842,6207
6/8/16,10317,12345,15078,7607
6/9/16,11004,11817,15292,7144
6/10/16,10244,12703,15065,7430
6/11/16,11571,12164,15506,6450
6/12/16,10009,11544,15668,6839
6/13/16,10708,12549,15904,7382
6/14/16,10665,11282,15693,6849
6/15/16,11903,11650,15799,6492
6/16/16,10988,11422,15882,7824
6/17/16,11139,11401,15332,6414
6/18/16,11584,12454,15605,6460
6/19/16,10783,11827,15296,7542
6/20/16,11461,11454,15877,7956
6/21/16,11580,11627,15418,6483
6/22/16,10549,12809,15023,6403
6/23/16,11786,11417,15772,7378
6/24/16,11333,12756,15531,6489
6/25/16,11573,11991,15101,7885
6/26/16,11476,12823,15771,7626
6/27/16,10807,12246,15973,7507
6/28/16,10220,11972,15220,7475
6/29/16,10340,12063,15134,7182
6/30/16,10992,12860,15672,7004
7/1/16,11836,11422,15096,6937
7/2/16,10557,12325,15107,7446
7/3/16,10339,12588,15808,6953
7/4/16,11692,12040,15711,7831
7/5/16,10325,11924,15280,6783
7/6/16,10392,11607,15874,7104
7/7/16,11951,11630,15141,6220
7/8/16,11248,11377,15165,6635
7/9/16,11773,12445,15894,6233
7/10/16,11176,11587,15682,7034
7/11/16,11660,11135,15233,6214
7/12/16,10177,12541,15785,7338
7/13/16,10724,11647,15136,7633
7/14/16,10238,11838,15875,6778
7/15/16,11610,11747,15528,7217
7/16/16,11849,11615,15948,7108
7/17/16,11090,12009,15572,7141
7/18/16,11505,12663,15251,6009
7/19/16,11909,11656,15585,7794
7/20/16,10626,12837,15719,7667
7/21/16,10209,11611,15674,6680
7/22/16,11267,11236,15173,6903
7/23/16,10086,11572,15985,7929
7/24/16,10388,12889,15437,6074
7/25/16,11446,11281,15670,7310
7/26/16,11014,11876,15175,7324
7/27/16,11447,12212,15734,7652
7/28/16,11632,11011,15873,6206
7/29/16,10466,12129,15198,6060
7/30/16,11581,12357,15028,7635
7/31/16,10592,11066,15357,7560
8/1/16,10233,12084,15656,6508
8/2/16,11982,11696,15265,6902
8/3/16,11919,11570,15433,6650
8/4/16,10243,11268,15400,6222
8/5/16,11840,11877,15548,7446
8/6/16,11561,11804,15721,6423
8/7/16,10977,11892,15224,6165
8/8/16,10153,12839,15868,6247
8/9/16,10333,11794,15095,6610
8/10/16,11558,11032,15614,7935
8/11/16,10728,11862,15530,6855
8/12/16,10744,11565,15686,6808
8/13/16,10813,12780,15698,7641
8/14/16,10913,11932,15885,7152
8/15/16,10732,12064,15640,6238
8/16/16,11866,12370,15729,6954
8/17/16,10297,11802,15191,7274
8/18/16,11296,12547,15938,6742
8/19/16,10846,12797,15233,7731
8/20/16,11845,12358,15122,6137
8/21/16,10287,12447,15140,7186
8/22/16,10075,11504,15467,6715
8/23/16,10324,12986,15446,6965
8/24/16,11624,11897,15305,6700
8/25/16,11807,12278,15840,6869
8/26/16,10666,11853,15470,6969
8/27/16,11171,11071,15152,6725
8/28/16,11775,11736,15849,6285
8/29/16,11066,11074,15823,7597
8/30/16,10856,11403,15760,6458
8/31/16,10282,11904,15282,6090
9/1/16,11636,11207,15845,7916
9/2/16,10529,11222,15952,6652
9/3/16,10731,12044,15429,6415
9/4/16,10072,11235,15267,6495
9/5/16,11821,11116,15034,7103
9/6/16,11745,11666,15817,7060
9/7/16,10058,11521,15869,6904
9/8/16,11079,12909,15876,6513
9/9/16,11102,11887,15613,7180
9/10/16,11340,12147,15444,6957
9/11/16,10151,11364,15238,7734
9/12/16,10718,12019,15508,7602
9/13/16,10264,11478,15191,6624
9/14/16,11386,12695,15249,7137
9/15/16,10359,11655,15416,7977
9/16/16,11462,12226,15925,6867
9/17/16,11498,11113,15744,7428
9/18/16,11289,11931,15632,7641
9/19/16,11769,11696,15650,7021
9/20/16,10780,12856,15068,6577
9/21/16,10202,11160,15442,6208
9/22/16,11752,12763,15734,7746
9/23/16,11696,12997,15087,6842
9/24/16,11689,12229,15658,6686
9/25/16,10396,12382,15231,7468
9/26/16,11127,12423,15016,7646
9/27/16,10282,11864,15157,6257
9/28/16,10693,12622,15034,7745
9/29/16,10334,11589,15112,6336
9/30/16,11470,11047,15247,6658
